geoid,month,pm25_median,pm25_mean,n_obs
24031,2018-03-01,7.083333,7.456679666666666,39
24031,2018-04-01,5.8333335,6.7952657,60
24031,2018-05-01,7.625,7.990227833333334,36
24031,2018-06-01,7.4791665,8.222463783333334,60
24031,2018-07-01,8.5,8.05573062264151,53
24031,2018-09-01,6.2,5.883745465116279,43
24031,2018-10-01,10.345652000000001,10.074666338709678,62
24031,2018-11-01,12.541667,13.50468962264151,53
24031,2018-12-01,6.416667,7.821943105263157,57
24031,2019-01-01,5.3478259999999995,5.924287080645161,62
24031,2019-02-01,5.1,6.602833892857142,56
24031,2019-03-01,5.2,4.911079919354839,62
24031,2019-04-01,2.2041665000000004,2.3344444166666665,60
24031,2019-05-01,4.225,4.001873185185185,54
24031,2019-06-01,5.7333335000000005,6.69971015,60
24031,2019-07-01,7.3541665,7.802741806451613,62
24031,2019-08-01,6.725,6.513778758064516,62
24031,2019-09-01,6.2041664999999995,6.3410628,60
24031,2019-10-01,4.5,5.0485857741935485,62
24031,2019-11-01,7.3541665,7.421758018518518,54
24031,2019-12-01,6.7041664999999995,9.642665967741936,62
24031,2024-01-01,5.35,5.889250224137931,58
24031,2024-02-01,5.8375,5.965890948275862,58
24031,2024-03-01,2.4166665,2.8785246666666664,60
24031,2024-04-01,2.9875,3.44248245,60
24031,2024-05-01,3.725,3.9003701071428574,56
24031,2024-06-01,7.8375,7.877964189655172,58
24031,2024-07-01,8.4375,8.491446725806451,62
24031,2024-08-01,8.291667,8.20994781967213,61
24031,2024-09-01,5.0,5.0671583859649125,57
24031,2024-10-01,6.5454545,6.905709370967742,62
24031,2024-11-01,4.2,4.2966698125,48
24031,2024-12-01,5.0208335,6.6358137903225805,62
24033,2018-01-01,8.347826,8.399700426666667,75
24033,2018-02-01,7.0,7.451998088235293,68
24033,2018-03-01,5.1,5.860004853333333,75
24033,2018-04-01,6.5,8.06687450819672,61
24033,2018-05-01,5.725,5.888069357142856,56
24033,2018-06-01,5.3166665,5.588864166666666,72
24033,2018-07-01,5.375,5.145360684210527,76
24033,2018-08-01,5.625,5.049738602739726,73
24033,2018-09-01,3.4,3.5798912916666663,72
24033,2018-10-01,4.2,4.1014879466666665,75
24033,2018-11-01,3.8717949999999997,4.78329015625,64
24033,2018-12-01,6.1125,7.597821162162162,74
24033,2019-01-01,5.7541665,6.598355236842105,76
24033,2019-02-01,6.5916665,8.42958755882353,68
24033,2019-03-01,7.0,6.766173946666667,75
24033,2019-04-01,5.1208335,5.098434972222222,72
24033,2019-05-01,5.7458335,6.2571877794117645,68
24033,2019-06-01,6.4,7.540947000000001,73
24033,2019-07-01,9.3375,9.05141277027027,74
24033,2019-08-01,7.4083335,7.603604092105264,76
24033,2019-09-01,7.2,6.827645410958904,73
24033,2019-10-01,4.7041664999999995,5.212110378378378,74
24033,2019-11-01,6.916667,7.715036462686566,67
24033,2019-12-01,5.5416665,8.58513022972973,74
24033,2024-01-01,1.7041665,2.802711302631579,76
24033,2024-02-01,2.875,3.272299101449275,69
24033,2024-03-01,0.6208335,1.0275336578947367,76
24033,2024-04-01,1.7541665000000002,1.9135211857142858,70
24033,2024-05-01,4.4,4.118083492753623,69
24033,2024-06-01,6.9291665,6.875000013888889,72
24033,2024-07-01,7.0,7.372939373333334,75
24033,2024-08-01,6.8,6.819586133333333,75
24033,2024-09-01,3.5,3.7715520571428574,70
24033,2024-10-01,5.25,5.589501794520548,73
24033,2024-11-01,4.833333,5.020171366666667,60
24033,2024-12-01,5.2,6.209399547945205,73
24043,2018-01-01,8.0,8.855469557377049,61
24043,2018-02-01,7.5708335,8.986410142857142,56
24043,2018-03-01,7.0,6.992569406779661,59
24043,2018-04-01,6.3923075,7.018540673913043,46
24043,2018-05-01,7.5,7.200409064516129,62
24043,2018-06-01,7.5,8.869704166666667,60
24043,2018-07-01,8.9833335,9.393037363636363,44
24043,2018-08-01,8.1125,7.9279370652173915,46
24043,2018-09-01,4.4375,4.10400965,60
24043,2018-10-01,5.1125,5.097200822580645,62
24043,2018-11-01,6.81875,7.624925895833333,48
24043,2018-12-01,7.2041664999999995,9.661304612903226,62
24043,2019-01-01,6.5208335,7.29437235483871,62
24043,2019-02-01,6.0708335,9.318625553571428,56
24043,2019-03-01,7.021739,8.127687080645162,62
24043,2019-04-01,4.3541665,4.763754266666667,60
24043,2019-05-01,4.7958335000000005,4.15723837037037,54
24043,2019-06-01,5.5391305,5.9456582,60
24043,2019-07-01,7.0,7.276436983870968,62
24043,2019-08-01,6.375,6.590578129032258,62
24043,2019-09-01,5.4458335,5.9111221333333335,60
24043,2019-10-01,4.8166665,5.382053548387097,62
24043,2019-11-01,6.7041664999999995,7.396600423076923,52
24043,2019-12-01,6.9291665,11.268782112903226,62
24043,2024-01-01,5.5208335,7.464491725806452,62
24043,2024-02-01,5.8375,6.305737465517241,58
24043,2024-03-01,3.25,3.552716,61
24043,2024-04-01,4.0,3.8277398666666667,60
24043,2024-05-01,2.5208335,2.819108839285714,56
24043,2024-06-01,4.0708335,4.623131283333334,60
24043,2024-07-01,3.8541665,4.0419354677419355,62
24043,2024-08-01,4.5416665,5.187445258064516,62
24043,2024-09-01,3.0,2.880140037037037,54
24043,2024-10-01,3.7041665000000004,3.836747193548387,62
24043,2024-11-01,3.75,4.021941574074074,54
24043,2024-12-01,6.7458335,8.323900258064516,62
24510,2018-01-01,9.4,10.898714534246576,73
24510,2018-02-01,9.3,9.50726343076923,65
24510,2018-03-01,6.35,6.867973042253521,71
24510,2018-04-01,6.225,7.2226981142857145,70
24510,2018-05-01,8.7625,8.888707727272728,66
24510,2018-06-01,8.2541665,8.808716314285714,70
24510,2018-07-01,10.9958335,11.113499390625,64
24510,2018-08-01,12.7,13.402312388059702,67
24510,2018-09-01,8.945833499999999,9.024844700000001,70
24510,2018-10-01,8.1847825,9.095712569444444,72
24510,2018-11-01,6.3125,8.245084421875,64
24510,2018-12-01,7.833333,8.809489767123289,73
24510,2019-01-01,6.928261,7.847250263888889,72
24510,2019-02-01,6.8,10.839882938461539,65
24510,2019-03-01,6.6,7.1199176164383555,73
24510,2019-04-01,4.2625,4.621676542857143,70
24510,2019-05-01,6.7041664999999995,6.596156727272727,66
24510,2019-06-01,7.8,8.195121811594202,69
24510,2019-07-01,10.5208335,10.616525028571429,70
24510,2019-08-01,9.05,9.482630291666666,72
24510,2019-09-01,8.5,8.680101,64
24510,2019-10-01,6.3,6.800060420289855,69
24510,2019-11-01,8.8166665,9.403215887096774,62
24510,2019-12-01,8.333333,11.718442420289856,69
24510,2024-01-01,5.75,7.519037887323943,71
24510,2024-02-01,7.2,7.733382970149254,67
24510,2024-03-01,4.5954545,4.87286775,72
24510,2024-04-01,5.0208335,5.815259742857142,70
24510,2024-05-01,6.2541665,6.016935651515151,66
24510,2024-06-01,6.9083335,6.980450328571429,70
24510,2024-07-01,7.478261,7.667806115942029,69
24510,2024-08-01,7.8,7.496858273972603,73
24510,2024-09-01,4.1,4.358023242857143,70
24510,2024-10-01,6.416667,7.1636698028169015,71
24510,2024-11-01,5.6625,5.91229428125,64
24510,2024-12-01,7.05,8.335663250000001,72
